id,Date,Tweet,cleaned_tweet,Json,Help and Relief Phrase,Damage Phrase,Loss Phrase,labels
10,2023-02-06 16:46:02+00:00,"तुर्की, सीरिया, इजरायल, लेबनान में भूकंप से भाई बहनों जो घायल हुए है #अल्लाह  उन सभी को सिफा ए कामिला आता करें ओर जीन भाई बहनों का इंतेकाल हुआ है 
#अल्लाह  उनकी मगफिरत फ़रमाये आमिन या रब्बल आलमीन https://t.co/4V1akvyaIP","तुर्की, सीरिया, इजरायल, लेबनान में भूकंप से भाई बहनों जो घायल हुए है   उन सभी को सिफा ए कामिला आता करें ओर जीन भाई बहनों का इंतेकाल हुआ है 
  उनकी मगफिरत फ़रमाये आमिन या रब्बल आलमीन ","{
    ""DEATHS"": ""जीन भाई बहनों का इंतेकाल हुआ है"",
    ""MISSING"": NaN,
    ""INJURED"": ""भाई बहनों जो घायल हुए हैं"",
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-INJURED', 'I-INJURED', 'I-INJURED', 'I-INJURED', 'I-INJURED', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11,2023-02-08 06:45:00+00:00,"तुर्की-सीरिया में आए भूकंप में मरने वालों की संख्या 8300 के पार

#Turkey #TurkeyQuake #TurkeyEarthquake #TurkeySyriaEarthquake #Syria #syriaearthquake #deathtoll #death #DESTRUCTION #LiberalTV https://t.co/Ln8aqsW4PZ",तुर्की-सीरिया में आए भूकंप में मरने वालों की संख्या 8300 के पार,"{
    ""DEATHS"": ""मरने वालों की संख्या 8300 के पार"",
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,,,"['O', 'O', 'O', 'O', 'O', 'B-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS']"
12,2023-02-08 06:15:00+00:00,"तुर्की-सीरिया भूकंप में मृतकों की संख्या 8000 पार, 3 महीने की इमरजेंसी

#TurkeyEarthquake #syriaearthquake #Emergency 
 
https://t.co/gLdOJeCY5q","तुर्की-सीरिया भूकंप में मृतकों की संख्या 8000 पार, 3 महीने की इमरजेंसी","{
    ""DEATHS"": ""मृतकों की संख्या 8000 पार"",
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,,,"['O', 'O', 'O', 'B-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'O', 'O', 'O', 'O', 'O']"
13,2023-02-06 11:20:41+00:00,"भूकंप से तुर्की-सीरिया में शहर-शहर तबाही, देखें वीडियो 

#Turkey #turkeyearthquake #EarthquakeInTurkey #TurkeyEarthquakeToday #TurkeyNews https://t.co/UzR7YcR3gs","भूकंप से तुर्की-सीरिया में शहर-शहर तबाही, देखें वीडियो 

          ","{
    ""DEATHS"": NaN,
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",शहर-शहर तबाही,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,2023-02-06 16:24:27+00:00,सूर्या समाचार LIVE : बजट सत्र से पहले तैयारियों में जुटे मुख्यमंत्री मनोहर लाल | तुर्की-सीरिया में पिछले 12 घंटे में भूकंप के 3 बड़े झटके | हरियाणा पुलिस का 'ऑपरेशन आक्रमण-4  #suryasamachar #haryananews #himachalnews #SurajkundMela2023  #Turkey  #Budget202 https://t.co/chEDEt5p8H,सूर्या समाचार  : बजट सत्र से पहले तैयारियों में जुटे मुख्यमंत्री मनोहर लाल | तुर्की-सीरिया में पिछले 12 घंटे में भूकंप के 3 बड़े झटके | हरियाणा पुलिस का 'ऑपरेशन आक्रमण-4         2023      202,"{
    ""DEATHS"": NaN,
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15,2023-02-07 16:38:10+00:00,"कमाल है ना... 
#RahulGandhi  संसद में आज भाषण दिए और भूकंप #तुर्की_सीरिया में एक दिन पहले ही आ गया..🤔🤔🤔","कमाल है ना... 
   संसद में आज भाषण दिए और भूकंप  में एक दिन पहले ही आ गया..","{
    ""DEATHS"": NaN,
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,2023-02-07 05:06:34+00:00,"सीरिया-तुर्की में भूकंप के बाद की ये दर्दनाक तस्वीरें किसी का भी मन विचलित कर सकती हैं। परमात्मा/प्रकृति से प्रार्थना है कि मृतकों की आत्मा को शांति दे व घायलों को जल्द स्वस्थ करे। भारत से भी NDRF की टीमें स्पेशल मशीनों के साथ तुर्की-सीरिया के लिए रवाना हो चुकी हैं।
#Turkey","सीरिया-तुर्की में भूकंप के बाद की ये दर्दनाक तस्वीरें किसी का भी मन विचलित कर सकती हैं। परमात्मा/प्रकृति से प्रार्थना है कि मृतकों की आत्मा को शांति दे व घायलों को जल्द स्वस्थ करे। भारत से भी  की टीमें स्पेशल मशीनों के साथ तुर्की-सीरिया के लिए रवाना हो चुकी हैं।
 ","{
    ""DEATHS"": NaN,
    ""MISSING"": NaN,
    ""INJURED"": ""घायलों को जल्द स्वस्थ करे"",
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": ""भारत से भी की टीमें स्पेशल मशीनों के साथ तुर्की-सीरिया के लिए रवाना हो चुकी हैं""
}",तुर्की-सीरिया के लिए रवाना,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-INJURED', 'I-INJURED', 'I-INJURED', 'I-INJURED', 'O', 'B-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'O']"
17,2023-02-07 13:46:17+00:00,"#तुर्की_सीरिया #भूकंप 
नेपाळच्या भुकम्पा ची आठवण करून देणारे जख्म
🙏🙏😫😭","  
नेपाळच्या भुकम्पा ची आठवण करून देणारे जख्म
","{
    ""DEATHS"": NaN,
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O']"
18,2023-02-09 08:25:49+00:00,"तुर्की, सीरिया में आए भूकंप के बाद मलबे के नीचे दबे होने के बावजूद अपने भाई को बचाने वाली 7 साल की बच्ची का एक बेहद मार्मिक वीडियो वायरल हुआ है.

#Turkey #Syria #Earthquake 

https://t.co/qXloznnOkS","तुर्की, सीरिया में आए भूकंप के बाद मलबे के नीचे दबे होने के बावजूद अपने भाई को बचाने वाली 7 साल की बच्ची का एक बेहद मार्मिक वीडियो वायरल हुआ है.","{
    ""DEATHS"": NaN,
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": ""मलबे के नीचे दबे होने के बावजूद अपने भाई को बचाने वाली 7 साल की बच्ची"",
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRAP', 'I-TRAP', 'I-TRAP', 'I-TRAP', 'I-TRAP', 'I-TRAP', 'I-TRAP', 'I-TRAP', 'I-TRAP', 'I-TRAP', 'I-TRAP', 'I-TRAP', 'I-TRAP', 'I-TRAP', 'I-TRAP', 'I-TRAP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,2023-02-06 12:51:58+00:00,"तुर्की-सिरिया बॉर्डर के समीप भूकंप के झटकों से गिरी इमारतों में दबकर 1600 के करीब लोगों की मौत,अब तक तुर्की में 1014 और सीरिया में 582 लोगों के मरने की पुष्टि,भारत ने रेसक्यू के लिए NDRF की 2 टीमें और राहत सामग्री रवाना की!

अल्लाह हिफाज़त करें महफूज़ रखे

https://t.co/LkIjXX14Z5 https://t.co/SJ6HywPxXb","तुर्की-सिरिया बॉर्डर के समीप भूकंप के झटकों से गिरी इमारतों में दबकर 1600 के करीब लोगों की मौत,अब तक तुर्की में 1014 और सीरिया में 582 लोगों के मरने की पुष्टि,भारत ने रेसक्यू के लिए  की 2 टीमें और राहत सामग्री रवाना की!

अल्लाह हिफाज़त करें महफूज़ रखे","{
    ""DEATHS"": ""1600 के करीब लोगों की मौत, अब तक तुर्की में 1014 और सीरिया में 582 लोगों के मरने की पुष्टि"",
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": ""भारत ने रेसक्यू के लिए 2 टीमें और राहत सामग्री रवाना की""
}",रेसक्यू के लिए की 2 टीमें और राहत सामग्री रवाना,गिरी इमारतों,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,2023-02-07 01:05:48+00:00,"तुर्की-सीरिया में भूकंप से 3,400 से अधिक लोगों की मौत, दुनिया ने लिया मदद का संकल्प
#Turkey #TurkeyEarthquake 
#khaskhabar
https://t.co/NCwhd1hqZK","तुर्की-सीरिया में भूकंप से 3,400 से अधिक लोगों की मौत, दुनिया ने लिया मदद का संकल्प","{
    ""DEATHS"": ""3,400 से अधिक लोगों की मौत"",
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": ""दुनिया ने लिया मदद का संकल्प""
}",मदद का संकल्प,,,"['O', 'O', 'O', 'O', 'B-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'I-DEATHS', 'O', 'B-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF', 'I-HELP AND RELIEF']"
21,2023-02-06 06:30:00+00:00,"तुर्की-सीरिया में भूकंप ने मचाई तबाही, 195 से ज्यादा मौत, त्रासदी का मंजर देख कांप उठेंगे आप

#TurkeyEarthquake #earthquake 

https://t.co/72uG5jnQY5","तुर्की-सीरिया में भूकंप ने मचाई तबाही, 195 से ज्यादा मौत, त्रासदी का मंजर देख कांप उठेंगे आप","{
    ""DEATHS"": ""195 से ज्यादा मौत"",
    ""MISSING"": NaN,
    ""INJURED"": NaN,
    ""TRAP"": NaN,
    ""AFFECTED POPULATION"": NaN,
    ""PLANT AND ANIMAL LOSS"": NaN,
    ""HEALTH ISSUES"": NaN,
    ""FOOD SHORTAGE"": NaN,
    ""FINANCIAL CRISIS"": NaN,
    ""INFRASTRUCTURE DAMAGE"": NaN,
    ""HELP AND RELIEF"": NaN
}",,,,"['O', 'O', 'O', 'O', 'O', 'O', 'B-DEATHS', 'I-DEATHS', 'I-DEATHS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
